ResponseId,ProductName,AdNumber,AdType,LLM_Model,PurchaseIntent,VisualAppeal,ValueConvincing,MessageClarity,Trustworthiness,OverallRating,HighRating,AgeGroup,ShoppingFreq
R_44GUXr08nvquzx9,Coffee Mug,12,Deepseek Both,Deepseek,5,3,3,4,3,3.6,0,,
R_44GUXr08nvquzx9,Coffee Mug,13,Gemini Both,Gemini,5,5,5,5,5,5.0,1,,
R_4DLOsv6dEcw5Na2,Backpack,1,Human Both,Human,2,2,2,4,2,2.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,2,Human Image + ChatGPT Copy,ChatGPT,2,2,3,4,2,2.6,0,,
R_4DLOsv6dEcw5Na2,Backpack,3,Human Image + Claude Copy,Claude,2,2,2,5,2,2.6,0,,
R_4DLOsv6dEcw5Na2,Backpack,4,Human Image + Deepseek Copy,Deepseek,2,2,2,4,2,2.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,5,Human Image + Gemini Copy,Gemini,2,2,2,4,2,2.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,6,ChatGPT Image + Human Copy,ChatGPT,3,3,3,4,3,3.2,0,,
R_4DLOsv6dEcw5Na2,Backpack,7,Claude Image + Human Copy,Claude,3,3,4,4,3,3.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,8,Deepseek Image + Human Copy,Deepseek,2,2,2,4,2,2.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,9,Gemini Image + Human Copy,Gemini,2,2,2,4,2,2.4,0,,
R_4DLOsv6dEcw5Na2,Backpack,10,ChatGPT Both,ChatGPT,3,3,3,4,3,3.2,0,,
R_4DLOsv6dEcw5Na2,Backpack,11,Claude Both,Claude,4,4,4,4,4,4.0,0,,
R_4DLOsv6dEcw5Na2,Backpack,12,Deepseek Both,Deepseek,4,4,4,4,4,4.0,0,,
R_4DLOsv6dEcw5Na2,Backpack,13,Gemini Both,Gemini,2,2,2,4,2,2.4,0,,
R_4box09rZd32aAQV,Umbrella,1,Human Both,Human,5,4,4,5,5,4.6,0,,
R_4box09rZd32aAQV,Umbrella,2,Human Image + ChatGPT Copy,ChatGPT,4,5,5,5,5,4.8,0,,
R_4box09rZd32aAQV,Umbrella,3,Human Image + Claude Copy,Claude,4,4,4,4,5,4.2,0,,
R_4box09rZd32aAQV,Umbrella,4,Human Image + Deepseek Copy,Deepseek,4,4,5,5,5,4.6,0,,
R_4box09rZd32aAQV,Umbrella,5,Human Image + Gemini Copy,Gemini,4,5,5,5,5,4.8,0,,
R_4box09rZd32aAQV,Umbrella,6,ChatGPT Image + Human Copy,ChatGPT,3,4,4,4,4,3.8,0,,
R_4box09rZd32aAQV,Umbrella,7,Claude Image + Human Copy,Claude,4,4,4,4,4,4.0,0,,
R_4box09rZd32aAQV,Umbrella,8,Deepseek Image + Human Copy,Deepseek,4,4,5,4,4,4.2,0,,
R_4box09rZd32aAQV,Umbrella,9,Gemini Image + Human Copy,Gemini,5,5,5,5,5,5.0,1,,
R_4box09rZd32aAQV,Umbrella,10,ChatGPT Both,ChatGPT,5,5,5,5,5,5.0,1,,
R_4box09rZd32aAQV,Umbrella,11,Claude Both,Claude,5,5,5,5,5,5.0,1,,
R_4box09rZd32aAQV,Umbrella,12,Deepseek Both,Deepseek,5,5,4,4,4,4.4,0,,
R_4box09rZd32aAQV,Umbrella,13,Gemini Both,Gemini,5,5,5,5,5,5.0,1,,
R_4dAB6hOE7ORFHXj,Phonecase,1,Human Both,Human,3,3,3,3,3,3.0,0,,
R_4dAB6hOE7ORFHXj,Phonecase,2,Human Image + ChatGPT Copy,ChatGPT,4,3,4,3,4,3.6,0,,
R_4dAB6hOE7ORFHXj,Phonecase,3,Human Image + Claude Copy,Claude,4,4,4,4,4,4.0,0,,
R_4dAB6hOE7ORFHXj,Phonecase,4,Human Image + Deepseek Copy,Deepseek,4,4,4,4,4,4.0,0,,
R_4dAB6hOE7ORFHXj,Phonecase,5,Human Image + Gemini Copy,Gemini,3,4,3,3,4,3.4,0,,
R_4dAB6hOE7ORFHXj,Phonecase,6,ChatGPT Image + Human Copy,ChatGPT,4,3,3,4,4,3.6,0,,
R_4dAB6hOE7ORFHXj,Phonecase,7,Claude Image + Human Copy,Claude,4,4,4,4,4,4.0,0,,
R_4dAB6hOE7ORFHXj,Phonecase,8,Deepseek Image + Human Copy,Deepseek,3,4,4,4,3,3.6,0,,
R_4dAB6hOE7ORFHXj,Phonecase,9,Gemini Image + Human Copy,Gemini,3,3,4,4,4,3.6,0,,
R_4dAB6hOE7ORFHXj,Phonecase,10,ChatGPT Both,ChatGPT,3,4,4,3,4,3.6,0,,
R_4dAB6hOE7ORFHXj,Phonecase,11,Claude Both,Claude,4,4,4,3,4,3.8,0,,
R_4dAB6hOE7ORFHXj,Phonecase,12,Deepseek Both,Deepseek,4,4,4,4,4,4.0,0,,
R_4dAB6hOE7ORFHXj,Phonecase,13,Gemini Both,Gemini,3,4,4,4,4,3.8,0,,
R_4eIwgh0jk2q9wBd,Backpack,1,Human Both,Human,1,1,1,1,1,1.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,2,Human Image + ChatGPT Copy,ChatGPT,1,1,1,1,1,1.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,3,Human Image + Claude Copy,Claude,1,1,1,2,2,1.4,0,,
R_4eIwgh0jk2q9wBd,Backpack,4,Human Image + Deepseek Copy,Deepseek,2,2,2,2,2,2.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,5,Human Image + Gemini Copy,Gemini,3,3,1,3,3,2.6,0,,
R_4eIwgh0jk2q9wBd,Backpack,6,ChatGPT Image + Human Copy,ChatGPT,3,3,1,3,3,2.6,0,,
R_4eIwgh0jk2q9wBd,Backpack,7,Claude Image + Human Copy,Claude,2,2,2,2,2,2.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,8,Deepseek Image + Human Copy,Deepseek,3,3,2,3,4,3.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,9,Gemini Image + Human Copy,Gemini,4,4,3,4,4,3.8,0,,
R_4eIwgh0jk2q9wBd,Backpack,10,ChatGPT Both,ChatGPT,3,2,2,4,4,3.0,0,,
R_4eIwgh0jk2q9wBd,Backpack,11,Claude Both,Claude,4,4,4,4,5,4.2,0,,
R_4eIwgh0jk2q9wBd,Backpack,12,Deepseek Both,Deepseek,4,5,4,4,5,4.4,0,,
R_4eIwgh0jk2q9wBd,Backpack,13,Gemini Both,Gemini,3,3,3,5,4,3.6,0,,
R_4gXhcMnyn0K1AS0,Backpack,1,Human Both,Human,4,4,4,4,4,4.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,2,Human Image + ChatGPT Copy,ChatGPT,4,4,4,4,4,4.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,3,Human Image + Claude Copy,Claude,3,3,3,3,3,3.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,4,Human Image + Deepseek Copy,Deepseek,2,2,2,2,2,2.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,5,Human Image + Gemini Copy,Gemini,2,2,2,2,2,2.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,6,ChatGPT Image + Human Copy,ChatGPT,1,1,3,3,3,2.2,0,,
R_4gXhcMnyn0K1AS0,Backpack,7,Claude Image + Human Copy,Claude,1,2,2,3,4,2.4,0,,
R_4gXhcMnyn0K1AS0,Backpack,8,Deepseek Image + Human Copy,Deepseek,1,2,3,4,5,3.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,9,Gemini Image + Human Copy,Gemini,5,5,5,5,5,5.0,1,,
R_4gXhcMnyn0K1AS0,Backpack,10,ChatGPT Both,ChatGPT,4,4,4,4,4,4.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,11,Claude Both,Claude,2,2,2,2,2,2.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,12,Deepseek Both,Deepseek,2,2,2,2,2,2.0,0,,
R_4gXhcMnyn0K1AS0,Backpack,13,Gemini Both,Gemini,3,4,5,4,2,3.6,0,,
R_5cwOAXQ4PpvSENP,T-Shirt,1,Human Both,Human,3,3,4,4,3,3.4,0,,
R_5cwOAXQ4PpvSENP,T-Shirt,3,Human Image + Claude Copy,Claude,3,3,4,4,3,3.4,0,,
R_5cwOAXQ4PpvSENP,T-Shirt,4,Human Image + Deepseek Copy,Deepseek,3,3,2,5,2,3.0,0,,
R_5cwOAXQ4PpvSENP,T-Shirt,5,Human Image + Gemini Copy,Gemini,3,3,2,5,2,3.0,0,,
R_5cwOAXQ4PpvSENP,T-Shirt,6,ChatGPT Image + Human Copy,ChatGPT,2,3,4,4,1,2.8,0,,
R_6g6PYHs2IdqKlSi,Backpack,1,Human Both,Human,2,1,3,5,2,2.6,0,,
R_6g6PYHs2IdqKlSi,Backpack,2,Human Image + ChatGPT Copy,ChatGPT,4,2,4,4,5,3.8,0,,
R_6g6PYHs2IdqKlSi,Backpack,3,Human Image + Claude Copy,Claude,3,3,3,2,3,2.8,0,,
R_6g6PYHs2IdqKlSi,Backpack,4,Human Image + Deepseek Copy,Deepseek,4,4,3,5,4,4.0,0,,
R_6g6PYHs2IdqKlSi,Backpack,5,Human Image + Gemini Copy,Gemini,1,1,1,2,1,1.2,0,,
R_6g6PYHs2IdqKlSi,Backpack,6,ChatGPT Image + Human Copy,ChatGPT,4,4,3,4,4,3.8,0,,
R_6g6PYHs2IdqKlSi,Backpack,7,Claude Image + Human Copy,Claude,5,5,5,5,5,5.0,1,,
R_6g6PYHs2IdqKlSi,Backpack,8,Deepseek Image + Human Copy,Deepseek,3,3,2,4,2,2.8,0,,
R_6g6PYHs2IdqKlSi,Backpack,9,Gemini Image + Human Copy,Gemini,2,2,2,4,3,2.6,0,,
R_6g6PYHs2IdqKlSi,Backpack,10,ChatGPT Both,ChatGPT,4,4,4,4,4,4.0,0,,
R_6g6PYHs2IdqKlSi,Backpack,11,Claude Both,Claude,5,5,5,5,5,5.0,1,,
R_6g6PYHs2IdqKlSi,Backpack,12,Deepseek Both,Deepseek,3,3,3,5,4,3.6,0,,
R_6g6PYHs2IdqKlSi,Backpack,13,Gemini Both,Gemini,2,2,3,4,2,2.6,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,1,Human Both,Human,5,5,5,4,3,4.4,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,2,Human Image + ChatGPT Copy,ChatGPT,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,3,Human Image + Claude Copy,Claude,3,3,3,3,2,2.8,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,4,Human Image + Deepseek Copy,Deepseek,2,3,3,3,3,2.8,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,5,Human Image + Gemini Copy,Gemini,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,6,ChatGPT Image + Human Copy,ChatGPT,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,7,Claude Image + Human Copy,Claude,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,8,Deepseek Image + Human Copy,Deepseek,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,9,Gemini Image + Human Copy,Gemini,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,10,ChatGPT Both,ChatGPT,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,11,Claude Both,Claude,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,12,Deepseek Both,Deepseek,3,3,3,3,3,3.0,0,,
R_6kGqz2eTlFfPUtZ,Phonecase,13,Gemini Both,Gemini,3,3,3,3,3,3.0,0,,
R_91X8Lg4BissAVJE,Umbrella,1,Human Both,Human,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,2,Human Image + ChatGPT Copy,ChatGPT,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,3,Human Image + Claude Copy,Claude,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,4,Human Image + Deepseek Copy,Deepseek,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,5,Human Image + Gemini Copy,Gemini,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,6,ChatGPT Image + Human Copy,ChatGPT,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,7,Claude Image + Human Copy,Claude,5,5,5,3,5,4.6,0,,
R_91X8Lg4BissAVJE,Umbrella,8,Deepseek Image + Human Copy,Deepseek,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,9,Gemini Image + Human Copy,Gemini,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,10,ChatGPT Both,ChatGPT,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,11,Claude Both,Claude,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,12,Deepseek Both,Deepseek,5,5,5,5,5,5.0,1,,
R_91X8Lg4BissAVJE,Umbrella,13,Gemini Both,Gemini,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,1,Human Both,Human,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,2,Human Image + ChatGPT Copy,ChatGPT,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,3,Human Image + Claude Copy,Claude,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,4,Human Image + Deepseek Copy,Deepseek,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,5,Human Image + Gemini Copy,Gemini,5,5,5,5,3,4.6,0,,
R_93MpHGHcF9OAXap,Phonecase,6,ChatGPT Image + Human Copy,ChatGPT,4,4,4,5,5,4.4,0,,
R_93MpHGHcF9OAXap,Phonecase,7,Claude Image + Human Copy,Claude,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,8,Deepseek Image + Human Copy,Deepseek,4,4,4,4,4,4.0,0,,
R_93MpHGHcF9OAXap,Phonecase,9,Gemini Image + Human Copy,Gemini,4,4,4,4,4,4.0,0,,
R_93MpHGHcF9OAXap,Phonecase,10,ChatGPT Both,ChatGPT,4,4,4,4,4,4.0,0,,
R_93MpHGHcF9OAXap,Phonecase,11,Claude Both,Claude,4,5,5,5,5,4.8,0,,
R_93MpHGHcF9OAXap,Phonecase,12,Deepseek Both,Deepseek,5,5,5,5,5,5.0,1,,
R_93MpHGHcF9OAXap,Phonecase,13,Gemini Both,Gemini,5,5,5,5,4,4.8,0,,
R_9H1yyIq5r6uRJuN,Phonecase,1,Human Both,Human,2,2,3,4,2,2.6,0,,
R_9H1yyIq5r6uRJuN,Phonecase,2,Human Image + ChatGPT Copy,ChatGPT,3,2,3,3,3,2.8,0,,
R_9H1yyIq5r6uRJuN,Phonecase,3,Human Image + Claude Copy,Claude,3,2,3,3,2,2.6,0,,
R_9H1yyIq5r6uRJuN,Phonecase,4,Human Image + Deepseek Copy,Deepseek,2,2,2,3,2,2.2,0,,
R_9H1yyIq5r6uRJuN,Phonecase,5,Human Image + Gemini Copy,Gemini,2,2,3,3,2,2.4,0,,
R_9H1yyIq5r6uRJuN,Phonecase,6,ChatGPT Image + Human Copy,ChatGPT,3,2,3,3,3,2.8,0,,
R_9H1yyIq5r6uRJuN,Phonecase,7,Claude Image + Human Copy,Claude,3,3,3,3,3,3.0,0,,
R_9H1yyIq5r6uRJuN,Phonecase,8,Deepseek Image + Human Copy,Deepseek,2,2,3,3,2,2.4,0,,
R_9H1yyIq5r6uRJuN,Phonecase,9,Gemini Image + Human Copy,Gemini,2,2,2,3,2,2.2,0,,
R_9H1yyIq5r6uRJuN,Phonecase,10,ChatGPT Both,ChatGPT,3,3,3,3,3,3.0,0,,
R_9H1yyIq5r6uRJuN,Phonecase,11,Claude Both,Claude,2,3,3,3,2,2.6,0,,
R_9H1yyIq5r6uRJuN,Phonecase,12,Deepseek Both,Deepseek,2,2,2,3,2,2.2,0,,
R_9H1yyIq5r6uRJuN,Phonecase,13,Gemini Both,Gemini,2,2,2,2,2,2.0,0,,
R_9dMLWHZS9wwgUlX,T-Shirt,1,Human Both,Human,4,4,4,5,4,4.2,0,,
R_9dMLWHZS9wwgUlX,T-Shirt,3,Human Image + Claude Copy,Claude,4,4,4,4,4,4.0,0,,
R_9dMLWHZS9wwgUlX,T-Shirt,4,Human Image + Deepseek Copy,Deepseek,5,5,4,3,4,4.2,0,,
R_9dMLWHZS9wwgUlX,T-Shirt,5,Human Image + Gemini Copy,Gemini,4,4,4,5,5,4.4,0,,
R_9dMLWHZS9wwgUlX,T-Shirt,6,ChatGPT Image + Human Copy,ChatGPT,4,3,4,4,3,3.6,0,,
R_9fBNnYsKfTTBmK3,Umbrella,1,Human Both,Human,4,4,4,5,5,4.4,0,,
R_9fBNnYsKfTTBmK3,Umbrella,2,Human Image + ChatGPT Copy,ChatGPT,3,4,3,4,3,3.4,0,,
R_9fBNnYsKfTTBmK3,Umbrella,3,Human Image + Claude Copy,Claude,3,3,2,3,3,2.8,0,,
R_9fBNnYsKfTTBmK3,Umbrella,4,Human Image + Deepseek Copy,Deepseek,3,5,5,5,5,4.6,0,,
R_9fBNnYsKfTTBmK3,Umbrella,5,Human Image + Gemini Copy,Gemini,5,5,5,3,2,4.0,0,,
R_9fBNnYsKfTTBmK3,Umbrella,6,ChatGPT Image + Human Copy,ChatGPT,3,4,3,5,5,4.0,0,,
R_9fBNnYsKfTTBmK3,Umbrella,7,Claude Image + Human Copy,Claude,4,3,2,1,5,3.0,0,,
R_9fBNnYsKfTTBmK3,Umbrella,8,Deepseek Image + Human Copy,Deepseek,3,3,1,5,5,3.4,0,,
R_9fBNnYsKfTTBmK3,Umbrella,9,Gemini Image + Human Copy,Gemini,4,4,2,4,5,3.8,0,,
R_9fBNnYsKfTTBmK3,Umbrella,10,ChatGPT Both,ChatGPT,4,2,5,5,5,4.2,0,,
R_9fBNnYsKfTTBmK3,Umbrella,11,Claude Both,Claude,2,2,1,5,4,2.8,0,,
R_9fBNnYsKfTTBmK3,Umbrella,12,Deepseek Both,Deepseek,4,3,5,5,5,4.4,0,,
R_9fBNnYsKfTTBmK3,Umbrella,13,Gemini Both,Gemini,5,4,2,5,4,4.0,0,,
R_9wGmFKx8eP4wW10,Umbrella,1,Human Both,Human,3,2,3,4,3,3.0,0,,
R_9wGmFKx8eP4wW10,Umbrella,2,Human Image + ChatGPT Copy,ChatGPT,3,2,4,4,3,3.2,0,,
R_9wGmFKx8eP4wW10,Umbrella,3,Human Image + Claude Copy,Claude,3,2,5,5,4,3.8,0,,
R_9wGmFKx8eP4wW10,Umbrella,4,Human Image + Deepseek Copy,Deepseek,3,2,2,4,2,2.6,0,,
R_9wGmFKx8eP4wW10,Umbrella,5,Human Image + Gemini Copy,Gemini,2,2,3,3,2,2.4,0,,
R_9wGmFKx8eP4wW10,Umbrella,6,ChatGPT Image + Human Copy,ChatGPT,4,4,3,4,4,3.8,0,,
R_9wGmFKx8eP4wW10,Umbrella,7,Claude Image + Human Copy,Claude,5,5,5,5,5,5.0,1,,
R_9wGmFKx8eP4wW10,Umbrella,8,Deepseek Image + Human Copy,Deepseek,3,3,4,4,5,3.8,0,,
R_9wGmFKx8eP4wW10,Umbrella,9,Gemini Image + Human Copy,Gemini,3,2,3,4,2,2.8,0,,
R_9wGmFKx8eP4wW10,Umbrella,10,ChatGPT Both,ChatGPT,3,2,2,4,3,2.8,0,,
R_9wGmFKx8eP4wW10,Umbrella,11,Claude Both,Claude,4,4,4,4,4,4.0,0,,
R_9wGmFKx8eP4wW10,Umbrella,12,Deepseek Both,Deepseek,3,2,2,2,2,2.2,0,,
R_9wGmFKx8eP4wW10,Umbrella,13,Gemini Both,Gemini,3,2,4,3,3,3.0,0,,
